,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,47.0,63.0,,49,49,39.0,38,,85,33,48,40
Albany-Schenectady-Troy NY,18.0,27.0,40.0,50,51,54.0,27,30.0,35,32,22,42
Albuquerque-Santa Fe NM,31.0,51.0,66.0,58,64,73.0,70,83.0,79,58,42,65
Amarillo TX,28.0,40.0,64.0,58,52,56.0,41,59.0,41,63,31,34
Atlanta GA,36.0,40.0,62.0,79,70,61.0,44,60.0,66,49,46,47
Augusta GA,35.0,31.0,40.0,85,63,53.0,33,46.0,45,38,26,35
Austin TX,33.0,35.0,61.0,63,51,35.0,33,49.0,52,47,40,49
Bakersfield CA,100.0,100.0,40.0,35,100,100.0,100,100.0,100,100,100,86
Baltimore MD,40.0,35.0,37.0,55,48,66.0,41,54.0,52,45,33,50
Baton Rouge LA,45.0,14.0,66.0,63,60,44.0,27,50.0,48,44,46,52
Birmingham AL,46.0,32.0,44.0,37,31,48.0,39,50.0,60,52,34,46
Boise ID,35.0,37.0,29.0,29,36,34.0,37,39.0,39,23,20,25
Boston MA-Manchester NH,32.0,30.0,50.0,48,44,38.0,27,33.0,35,36,30,31
Buffalo NY,40.0,32.0,47.0,38,46,36.0,26,44.0,44,42,40,55
Burlington VT-Plattsburgh NY,32.0,6.0,55.0,30,23,29.0,24,31.0,32,27,23,26
Champaign & Springfield-Decatur IL,30.0,31.0,47.0,33,32,,35,29.0,36,40,32,36
Charleston SC,17.0,25.0,66.0,42,54,61.0,37,60.0,62,53,31,38
Charlotte NC,34.0,33.0,52.0,54,60,53.0,43,54.0,61,49,42,45
Chicago IL,39.0,42.0,60.0,58,53,50.0,45,51.0,60,53,48,60
Cincinnati OH,28.0,30.0,62.0,72,41,53.0,34,44.0,51,44,38,56
Cleveland-Akron (Canton) OH,35.0,34.0,50.0,61,46,54.0,37,45.0,49,39,39,58
Colorado Springs-Pueblo CO,36.0,35.0,77.0,60,32,62.0,52,82.0,90,67,52,73
Columbia SC,32.0,37.0,71.0,59,53,50.0,46,59.0,51,59,44,54
Columbus OH,34.0,40.0,56.0,49,50,49.0,34,49.0,61,42,46,84
Dallas-Ft. Worth TX,47.0,41.0,62.0,61,55,53.0,41,48.0,61,46,41,53
Davenport IA-Rock Island-Moline IL,18.0,18.0,27.0,62,50,30.0,29,74.0,68,61,42,45
Dayton OH,47.0,16.0,41.0,39,45,45.0,37,54.0,72,42,39,50
Denver CO,32.0,39.0,58.0,71,55,57.0,45,59.0,72,70,70,100
Des Moines-Ames IA,30.0,19.0,23.0,41,18,50.0,32,47.0,38,41,38,36
Detroit MI,53.0,47.0,73.0,80,69,56.0,41,41.0,56,46,39,55
El Paso TX,46.0,40.0,69.0,35,21,40.0,32,53.0,49,40,36,47
Flint-Saginaw-Bay City MI,39.0,33.0,48.0,56,26,27.0,38,37.0,46,28,28,33
Fresno-Visalia CA,49.0,59.0,100.0,91,72,81.0,56,86.0,76,74,57,66
Ft. Myers-Naples FL,22.0,23.0,31.0,40,29,61.0,38,49.0,51,37,33,24
Grand Rapids-Kalamazoo-Battle Creek MI,23.0,25.0,40.0,43,26,32.0,26,42.0,47,43,36,55
Green Bay-Appleton WI,13.0,20.0,22.0,33,46,40.0,20,35.0,39,30,18,50
Greensboro-High Point-Winston Salem NC,24.0,23.0,40.0,27,52,52.0,30,55.0,72,36,35,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,33.0,39.0,54.0,72,32,55.0,36,52.0,55,51,33,49
Harlingen-Weslaco-Brownsville-McAllen TX,52.0,22.0,59.0,20,26,23.0,22,24.0,24,27,19,27
Harrisburg-Lancaster-Lebanon-York PA,37.0,29.0,45.0,40,36,31.0,24,43.0,36,26,26,40
Hartford & New Haven CT,29.0,38.0,49.0,59,59,58.0,47,72.0,72,69,56,58
Honolulu HI,43.0,38.0,54.0,73,75,51.0,42,58.0,58,52,38,55
Houston TX,41.0,47.0,66.0,71,65,60.0,46,56.0,64,58,38,59
Huntsville-Decatur (Florence) AL,26.0,61.0,62.0,76,47,47.0,28,53.0,40,41,33,40
Indianapolis IN,34.0,31.0,54.0,57,50,49.0,37,51.0,48,53,41,43
Jacksonville FL,35.0,27.0,51.0,38,60,51.0,34,57.0,62,47,34,37
Kansas City MO,48.0,53.0,65.0,66,58,76.0,55,68.0,78,70,49,66
Knoxville TN,38.0,41.0,45.0,46,45,40.0,24,42.0,46,43,37,42
Las Vegas NV,59.0,58.0,65.0,69,79,72.0,64,79.0,82,68,62,85
Lexington KY,18.0,39.0,51.0,59,45,44.0,34,41.0,38,38,36,46
Lincoln & Hastings-Kearney NE,58.0,27.0,65.0,28,44,46.0,35,29.0,52,43,33,54
Little Rock-Pine Bluff AR,42.0,36.0,59.0,55,58,46.0,42,53.0,51,46,37,51
Los Angeles CA,49.0,58.0,85.0,79,79,79.0,54,72.0,72,62,51,60
Louisville KY,41.0,28.0,53.0,50,54,62.0,44,61.0,63,64,48,58
Memphis TN,28.0,23.0,49.0,41,40,65.0,50,79.0,66,71,51,74
Miami-Ft. Lauderdale FL,37.0,42.0,77.0,67,57,63.0,52,55.0,66,48,38,45
Milwaukee WI,40.0,39.0,40.0,42,82,66.0,58,62.0,56,48,61,75
Minneapolis-St. Paul MN,33.0,33.0,43.0,63,46,37.0,36,45.0,53,57,58,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,50.0,35.0,56.0,45,34,41.0,36,42.0,64,44,31,37
Monterey-Salinas CA,54.0,44.0,91.0,63,62,82.0,32,76.0,76,47,45,42
Nashville TN,30.0,38.0,55.0,56,48,47.0,42,55.0,63,49,36,49
New Orleans LA,69.0,32.0,46.0,67,59,57.0,47,61.0,58,69,32,60
New York NY,38.0,34.0,54.0,52,46,44.0,32,42.0,42,41,33,38
Norfolk-Portsmouth-Newport News VA,44.0,38.0,52.0,55,51,53.0,34,52.0,57,50,36,60
Oklahoma City OK,37.0,17.0,55.0,48,58,57.0,42,61.0,68,55,41,47
Omaha NE,31.0,48.0,75.0,69,56,68.0,36,51.0,67,50,43,57
Orlando-Daytona Beach-Melbourne FL,42.0,42.0,57.0,60,65,58.0,44,50.0,61,46,33,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,26.0,27.0,78.0,17,41,30.0,30,45.0,78,36,40,37
Peoria-Bloomington IL,19.0,36.0,91.0,54,25,38.0,29,43.0,55,37,35,41
Philadelphia PA,38.0,42.0,77.0,63,45,49.0,34,44.0,50,44,39,56
Phoenix AZ,38.0,46.0,76.0,69,56,55.0,47,50.0,63,54,39,49
Pittsburgh PA,30.0,32.0,41.0,48,38,36.0,29,24.0,35,33,24,33
Portland OR,45.0,43.0,39.0,50,52,70.0,58,83.0,88,75,77,95
Portland-Auburn ME,30.0,15.0,53.0,29,21,17.0,27,30.0,26,39,18,24
Providence RI-New Bedford MA,29.0,29.0,38.0,67,62,43.0,41,40.0,48,43,43,36
Raleigh-Durham (Fayetteville) NC,21.0,27.0,45.0,53,43,35.0,28,36.0,45,44,35,38
Reno NV,36.0,33.0,69.0,100,72,69.0,55,52.0,68,54,48,47
Richmond-Petersburg VA,31.0,31.0,43.0,39,33,39.0,31,54.0,49,45,31,41
Roanoke-Lynchburg VA,11.0,44.0,26.0,22,9,44.0,30,36.0,47,34,24,47
Rochester NY,41.0,26.0,48.0,22,42,37.0,28,53.0,36,33,34,49
Sacramento-Stockton-Modesto CA,53.0,72.0,97.0,82,87,84.0,65,93.0,91,77,53,66
Salt Lake City UT,29.0,31.0,68.0,68,68,59.0,39,49.0,52,49,36,41
San Antonio TX,43.0,49.0,76.0,77,68,57.0,39,62.0,63,60,40,64
San Diego CA,52.0,60.0,100.0,89,71,79.0,51,71.0,86,66,48,59
San Francisco-Oakland-San Jose CA,51.0,64.0,86.0,81,77,65.0,55,67.0,81,64,58,71
Santa Barbara-Santa Maria-San Luis Obispo CA,38.0,21.0,46.0,74,35,58.0,37,39.0,64,27,40,42
Seattle-Tacoma WA,47.0,57.0,78.0,87,79,79.0,54,65.0,80,64,56,79
Shreveport LA,29.0,14.0,68.0,81,24,49.0,56,40.0,60,36,30,56
Sioux Falls(Mitchell) SD,28.0,37.0,65.0,40,49,39.0,14,34.0,66,32,49,27
Spokane WA,46.0,57.0,90.0,80,52,57.0,53,62.0,55,38,35,59
Springfield MO,39.0,35.0,55.0,75,24,51.0,36,64.0,57,52,28,41
Springfield-Holyoke MA,22.0,52.0,53.0,80,41,52.0,28,46.0,53,43,36,56
St. Louis MO,32.0,36.0,64.0,72,65,56.0,47,53.0,76,67,47,76
Syracuse NY,21.0,20.0,42.0,25,20,28.0,16,35.0,46,36,31,41
Tampa-St. Petersburg (Sarasota) FL,32.0,29.0,52.0,59,56,60.0,44,56.0,51,52,35,43
Toledo OH,79.0,36.0,74.0,59,29,31.0,18,32.0,41,28,44,49
Tucson (Sierra Vista) AZ,51.0,42.0,48.0,56,51,52.0,55,49.0,70,46,25,56
Tulsa OK,60.0,34.0,76.0,53,52,76.0,37,96.0,97,76,52,55
Waco-Temple-Bryan TX,9.0,41.0,32.0,70,48,39.0,44,38.0,64,52,33,50
Washington DC (Hagerstown MD),37.0,35.0,54.0,49,41,45.0,29,37.0,43,41,34,41
West Palm Beach-Ft. Pierce FL,32.0,44.0,50.0,46,41,59.0,48,59.0,50,39,38,42
Wichita-Hutchinson KS,40.0,31.0,74.0,73,68,54.0,45,67.0,56,46,42,52
Wilkes Barre-Scranton PA,7.0,41.0,56.0,62,50,36.0,24,39.0,47,39,28,38
Charleston-Huntington WV,,28.0,51.0,57,42,40.0,30,34.0,60,23,33,39
Chattanooga TN,,52.0,51.0,59,44,40.0,53,62.0,48,46,50,50
Eugene OR,,14.0,61.0,45,41,52.0,59,38.0,60,60,46,58
Florence-Myrtle Beach SC,,43.0,,57,84,31.0,37,50.0,55,45,24,54
Lansing MI,,23.0,53.0,25,41,18.0,25,33.0,49,51,27,40
Madison WI,,38.0,43.0,38,47,44.0,25,57.0,59,48,38,51
Savannah GA,,58.0,45.0,46,34,49.0,29,44.0,38,43,46,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,,,45.0,24,33,32.0,20,37.0,63,50,42,40
Yakima-Pasco-Richland-Kennewick WA,,,46.0,42,29,64.0,57,41.0,61,46,32,72
